millis,sens0,sens1,sens2,sens3,sens4
192900000,1023,1023,1023,1023,1023
193200000,1023,1023,1023,1023,1023
193500000,1023,1023,1023,1023,1023
193800000,1023,1023,1023,1023,1023
194100000,1023,1023,1023,1023,1023
194400000,1023,1023,1023,1023,1023
194700000,1023,1023,1023,1023,1023
195000000,1023,1023,1023,1023,1023
195300000,1023,1023,1023,1023,1023
195600000,1023,1023,1023,1023,1023
195900000,1023,1023,1023,1023,1023
196200000,1023,1023,1023,1023,1023
196500000,1023,1023,1023,1023,1023
196800000,1023,1023,1023,1023,1023
197100000,1023,1023,1023,1023,1023
197400000,1023,1023,1023,1023,1023
197700000,1023,1023,1023,1023,1023
198000000,1023,1023,1023,1023,1023
198300000,1023,1023,1023,1023,1023
198600000,1023,1023,1023,1023,1023
198900000,1023,1023,1023,1023,1023
199200000,1023,1023,1023,1023,1023
199500000,1023,1023,1023,1023,1023
199800000,1023,1023,1023,1023,1023
200100000,1023,1023,1023,1023,1023
200400000,1023,1023,1023,1023,1023
200700000,1023,1023,1023,1023,1023
201000000,1023,1023,1023,1023,1023
201300000,1023,1023,1023,1023,1023
201600000,1023,1023,1023,1023,1023
201900000,1023,1023,1023,1023,1023
202200000,1023,1023,1023,1023,1023
202500000,1023,1023,1023,1023,1023
202800000,1023,1023,1023,1023,1023
203100000,1023,1023,1023,1023,1023
203400000,1023,1023,1023,1023,1023
203700000,1023,1023,1023,1023,1023
204000000,1023,1023,1023,1023,1023
204300000,1023,1023,1023,1023,1023
204600000,1023,1023,1023,1023,1023
204900000,1023,1023,1023,1023,1023
205200000,1023,1023,1023,1023,1023
205500000,1023,1023,1023,1023,1023
205800000,1023,1023,1023,1023,1023
206100000,1023,1023,1023,1023,1023
206400000,1023,1023,1023,1023,1023
206700000,1023,1023,1023,1023,1023
207000000,1023,1023,1023,1023,1023
207300000,1023,1023,1023,1023,1023
207600000,1023,1023,1023,1023,1023
207900000,1023,1023,1023,1023,1023
208200000,1023,1023,1023,1023,1023
208500000,1023,1023,1023,1023,1023
208800000,1023,1023,1023,1023,1023
209100000,1023,1023,1023,1023,1023
209400000,1023,1023,1023,1023,1023
209700000,1023,1023,1023,1023,1023
210000000,1023,1023,1023,1023,1023
210300000,1023,1023,1023,1023,1023
210600000,1023,1023,1023,1023,1023
210900000,1023,1023,1023,1023,1023
211200000,1023,1023,1023,1023,1023
211500000,1023,1023,1023,1023,1023
211800000,1023,1023,1023,1023,1023
212100000,1023,1023,1023,1023,1023
212400000,1023,1023,1023,1023,1023
212700000,1023,1023,1023,1023,1023
213000000,1023,1023,1023,1023,1023
213300000,1023,1023,1023,1023,1023
213600000,1023,1023,1023,1023,1023
213900000,1023,1023,1023,1023,1023
214200000,1023,1023,1023,1023,1023
214500000,1023,1023,1023,1023,1023
214800000,1023,1023,1023,1023,1023
215100000,1023,1023,1023,1023,1023
215400000,1023,1023,1023,1023,1023
215700000,1023,1023,1023,1023,1023
216000000,1023,1023,1023,1023,1023
216300000,1023,1023,1023,1023,1023
